Date,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Quality,Duration,Bedtime,Wake Time
5/2/2025,75,56,36,97,15,Fair,6h 17min,10:31 PM,4:49 AM
5/1/2025,84,53,59,96,15,Good,6h 58min,10:04 PM,5:02 AM
4/30/2025,75,56,36,97,14,Fair,6h 52min,10:13 PM,5:06 AM
4/29/2025,47,60,24,96,15,Poor,6h 8min,10:58 PM,5:06 AM
4/28/2025,79,56,46,96,16,Fair,6h 51min,10:16 PM,5:08 AM
4/27/2025,79,53,48,95,15,Fair,6h 38min,12:25 AM,7:05 AM
4/26/2025,74,59,39,94,15,Fair,6h 43min,10:19 PM,5:04 AM
4/25/2025,69,57,43,97,14,Fair,5h 26min,10:39 PM,4:44 AM
4/24/2025,48,58,29,95,16,Poor,6h 46min,9:50 PM,4:53 AM
4/23/2025,82,54,55,96,15,Good,7h 4min,10:08 PM,5:12 AM
4/22/2025,56,58,31,95,15,Poor,6h 3min,11:07 PM,5:10 AM
4/21/2025,76,52,55,96,15,Fair,6h 7min,11:00 PM,5:07 AM
4/20/2025,50,52,28,97,17,Poor,7h 2min,12:27 AM,7:30 AM
4/19/2025,82,53,47,95,14,Good,6h 48min,11:13 PM,6:01 AM
4/18/2025,49,56,40,95,16,Poor,7h 21min,10:41 PM,6:44 AM
4/17/2025,76,58,39,96,16,Fair,7h 2min,10:07 PM,5:10 AM
4/16/2025,75,56,38,97,15,Fair,7h 6min,9:55 PM,5:11 AM
4/15/2025,79,56,39,94,16,Fair,6h 53min,10:14 PM,5:07 AM
4/14/2025,77,55,36,97,15,Fair,6h 51min,10:15 PM,5:09 AM
4/13/2025,71,50,14,--,15,Fair,5h 33min,12:56 AM,6:48 AM
4/12/2025,60,54,21,95,15,Fair,4h 37min,2:12 PM,7:07 PM
4/11/2025,77,53,50,96,15,Fair,6h 11min,10:49 PM,5:01 AM
4/10/2025,79,54,59,96,15,Fair,6h 29min,10:42 PM,5:11 AM
4/9/2025,49,58,28,97,15,Poor,6h 44min,10:26 PM,5:10 AM
4/8/2025,50,57,27,95,17,Poor,7h 27min,9:44 PM,5:12 AM
4/7/2025,77,55,37,97,16,Fair,6h 34min,10:30 PM,5:10 AM
4/6/2025,87,53,37,95,15,Good,8h 39min,9:56 PM,6:35 AM
4/5/2025,52,51,41,97,15,Poor,9h 34min,9:02 PM,7:22 AM
4/4/2025,85,54,52,94,15,Good,7h 21min,9:45 PM,5:11 AM
4/3/2025,80,54,49,97,15,Good,6h 31min,10:37 PM,5:08 AM
4/2/2025,49,51,32,96,16,Poor,6h 38min,10:30 PM,5:08 AM
4/1/2025,49,57,25,95,17,Poor,6h 41min,10:20 PM,5:07 AM
3/31/2025,75,53,47,95,15,Fair,5h 58min,11:10 PM,5:08 AM
3/30/2025,46,52,25,96,15,Poor,5h 34min,12:47 AM,6:24 AM
3/29/2025,50,54,28,95,16,Poor,10h 2min,8:39 PM,7:31 AM
3/28/2025,84,51,73,94,16,Good,7h 9min,9:32 PM,5:09 AM
3/27/2025,61,53,33,94,16,Fair,6h 59min,9:42 PM,5:03 AM
3/26/2025,85,52,61,94,15,Good,7h 4min,10:07 PM,5:11 AM
3/25/2025,50,56,29,96,18,Poor,7h 45min,9:25 PM,5:11 AM
3/24/2025,92,51,42,96,15,Excellent,7h 32min,10:25 PM,5:57 AM
3/23/2025,90,53,60,95,15,Excellent,7h 30min,12:17 AM,7:48 AM
3/22/2025,89,52,69,96,16,Good,8h 4min,11:12 PM,7:33 AM
3/21/2025,79,56,42,96,17,Fair,7h 14min,9:43 PM,5:06 AM
3/20/2025,83,50,66,95,17,Good,6h 38min,10:24 PM,5:02 AM
3/19/2025,86,53,49,96,14,Good,7h 16min,9:40 PM,4:57 AM
3/18/2025,83,50,56,98,15,Good,6h 50min,10:14 PM,5:05 AM
3/17/2025,87,49,50,95,16,Good,7h 11min,9:59 PM,5:10 AM
3/16/2025,90,52,62,97,17,Excellent,8h 8min,10:29 PM,6:48 AM
3/15/2025,50,57,30,95,16,Poor,8h 54min,10:00 PM,7:03 AM
3/14/2025,66,55,30,96,16,Fair,5h 48min,11:06 PM,5:07 AM
3/13/2025,77,48,50,96,16,Fair,6h 48min,10:20 PM,5:08 AM
3/12/2025,79,56,48,97,16,Fair,7h 9min,9:57 PM,5:07 AM
3/11/2025,56,54,35,96,13,Poor,4h 17min,11:16 PM,3:34 AM
3/10/2025,77,52,40,95,17,Fair,6h 30min,10:38 PM,5:08 AM
3/9/2025,81,53,54,95,14,Good,9h 13min,8:36 PM,6:23 AM
3/8/2025,79,55,56,95,15,Fair,6h 43min,11:05 PM,6:08 AM
3/7/2025,82,54,56,96,15,Good,6h 53min,10:41 PM,5:34 AM
3/6/2025,73,55,50,93,16,Fair,7h 17min,8:22 PM,5:01 AM
3/5/2025,49,58,24,93,16,Poor,7h 12min,9:45 PM,5:07 AM
3/4/2025,85,56,52,96,16,Good,7h 33min,9:31 PM,5:04 AM
3/3/2025,81,51,45,97,14,Good,6h 47min,10:21 PM,5:08 AM
3/2/2025,74,57,34,97,15,Fair,6h 12min,11:46 PM,6:03 AM
3/1/2025,90,53,57,96,16,Excellent,8h 11min,9:05 PM,5:23 AM
2/28/2025,81,56,43,94,15,Good,8h 10min,8:50 PM,5:09 AM
2/27/2025,84,52,58,95,17,Good,7h 16min,9:39 PM,5:06 AM
2/26/2025,77,56,43,95,16,Fair,6h 51min,10:00 PM,5:07 AM
2/25/2025,49,57,32,96,15,Poor,7h 19min,9:17 PM,5:01 AM
2/24/2025,90,51,--,96,13,Excellent,7h 26min,9:40 PM,5:06 AM
2/23/2025,71,53,26,97,15,Fair,5h 58min,11:45 PM,5:43 AM
2/22/2025,86,53,66,96,15,Good,8h 38min,9:58 PM,6:58 AM
2/21/2025,74,56,40,96,16,Fair,6h 49min,9:45 PM,5:05 AM
2/20/2025,66,59,31,96,16,Fair,6h 26min,10:38 PM,5:04 AM
2/19/2025,81,55,38,98,16,Good,7h 46min,8:59 PM,5:02 AM
2/18/2025,85,55,49,95,15,Good,7h 39min,9:20 PM,5:00 AM
2/17/2025,72,54,37,96,16,Fair,5h 31min,12:34 AM,6:25 AM
2/16/2025,85,51,55,96,15,Good,10h 25min,8:41 PM,7:36 AM
2/15/2025,48,54,31,93,15,Poor,7h 12min,10:55 PM,6:39 AM
2/14/2025,68,58,--,96,16,Fair,7h 8min,9:29 PM,5:00 AM
2/13/2025,69,55,60,95,15,Fair,5h 37min,9:10 PM,5:00 AM
2/12/2025,81,57,34,94,16,Good,7h 49min,9:04 PM,5:01 AM
2/11/2025,82,54,49,97,14,Good,7h 8min,10:00 PM,5:08 AM
2/10/2025,76,53,43,94,15,Fair,6h 0min,11:01 PM,5:01 AM
2/9/2025,50,50,40,96,16,Poor,9h 32min,8:14 PM,6:14 AM
2/8/2025,59,53,31,96,16,Poor,4h 51min,11:15 PM,4:20 AM
2/7/2025,71,57,37,96,16,Fair,5h 45min,11:22 PM,5:07 AM
2/6/2025,69,53,46,97,15,Fair,5h 21min,11:48 PM,5:09 AM
2/5/2025,49,57,34,96,16,Poor,8h 14min,10:46 PM,7:31 AM
2/4/2025,50,48,25,95,15,Poor,3h 58min,9:51 PM,1:49 AM
2/3/2025,65,57,29,96,15,Fair,6h 43min,10:09 PM,5:07 AM
2/2/2025,81,55,58,97,15,Good,10h 0min,7:33 PM,6:50 AM
2/1/2025,72,56,27,96,14,Fair,6h 14min,10:06 PM,4:20 AM
1/31/2025,49,59,31,98,16,Poor,6h 38min,10:30 PM,5:08 AM
1/30/2025,73,51,42,95,15,Fair,5h 55min,11:14 PM,5:09 AM
1/29/2025,49,56,32,93,15,Poor,8h 3min,10:05 PM,6:57 AM
1/28/2025,69,58,28,94,16,Fair,6h 15min,10:26 PM,5:08 AM
1/27/2025,80,53,47,97,16,Good,6h 39min,10:27 PM,5:06 AM
1/26/2025,88,54,60,94,17,Good,8h 41min,8:52 PM,5:33 AM
1/25/2025,63,58,29,96,16,Fair,5h 56min,10:23 PM,4:23 AM
1/24/2025,45,58,28,--,16,Poor,6h 57min,10:01 PM,5:01 AM
1/23/2025,80,52,58,97,14,Good,6h 19min,10:46 PM,5:05 AM
1/22/2025,73,55,41,97,15,Fair,6h 5min,10:54 PM,5:01 AM
1/21/2025,80,51,42,96,15,Good,7h 1min,9:45 PM,5:03 AM
1/20/2025,80,56,46,97,15,Good,6h 54min,10:12 PM,5:06 AM
1/19/2025,72,54,49,95,16,Fair,9h 18min,8:23 PM,7:00 AM
1/18/2025,73,53,52,97,15,Fair,5h 54min,9:54 PM,4:22 AM
1/17/2025,60,60,31,96,15,Fair,6h 48min,10:19 PM,5:07 AM
1/16/2025,--,--,--,--,--,--,--,--,--
1/15/2025,83,55,46,96,15,Good,7h 8min,10:01 PM,5:09 AM
1/14/2025,49,57,31,97,15,Poor,6h 44min,10:21 PM,5:05 AM
1/13/2025,77,54,48,97,15,Fair,6h 29min,10:33 PM,5:02 AM
1/12/2025,45,56,26,96,16,Poor,5h 48min,1:52 AM,7:49 AM
1/11/2025,61,57,37,97,15,Fair,5h 46min,10:33 PM,4:21 AM
1/10/2025,50,58,25,97,14,Poor,6h 30min,10:32 PM,5:02 AM
1/9/2025,78,57,45,96,15,Fair,6h 57min,10:01 PM,4:58 AM
1/8/2025,84,52,48,96,16,Good,8h 22min,10:16 PM,7:00 AM
1/7/2025,82,49,43,--,15,Good,8h 8min,8:26 PM,5:01 AM
1/6/2025,76,53,43,--,15,Fair,6h 17min,10:05 PM,4:22 AM
1/5/2025,88,53,54,--,15,Good,7h 57min,9:51 PM,5:56 AM
1/4/2025,66,59,31,--,15,Fair,6h 29min,9:36 PM,4:21 AM
1/3/2025,77,56,40,--,14,Fair,6h 39min,10:22 PM,5:01 AM
1/2/2025,86,53,54,--,16,Good,7h 17min,9:36 PM,4:58 AM
1/1/2025,77,57,35,--,15,Fair,7h 10min,10:04 PM,6:18 AM
12/31/2024,86,57,46,--,14,Good,7h 37min,9:20 PM,5:01 AM
12/30/2024,76,55,32,--,15,Fair,7h 32min,10:30 PM,6:55 AM
12/29/2024,84,53,52,--,15,Good,7h 21min,12:09 AM,7:40 AM
12/28/2024,73,58,33,--,16,Fair,6h 35min,9:44 PM,4:19 AM
12/27/2024,85,55,44,--,16,Good,7h 14min,9:40 PM,4:59 AM
12/26/2024,58,57,25,--,16,Poor,8h 37min,9:08 PM,5:55 AM
12/25/2024,77,56,35,--,16,Fair,7h 5min,9:53 PM,5:15 AM
12/24/2024,83,55,47,--,16,Good,7h 14min,9:42 PM,5:00 AM
12/23/2024,80,50,47,--,16,Good,6h 14min,10:45 PM,4:59 AM
12/22/2024,82,50,58,--,15,Good,7h 49min,9:24 PM,5:50 AM
12/21/2024,86,52,61,--,14,Good,7h 9min,8:45 PM,4:19 AM
12/20/2024,77,55,42,--,14,Fair,7h 34min,10:49 PM,6:57 AM
12/19/2024,87,54,55,--,15,Good,7h 20min,9:15 PM,4:37 AM
12/18/2024,78,52,58,--,14,Fair,6h 24min,10:07 PM,4:57 AM
12/17/2024,80,55,43,--,15,Good,6h 36min,10:17 PM,4:57 AM
12/16/2024,85,53,49,--,15,Good,7h 33min,9:26 PM,5:01 AM
12/15/2024,87,53,59,--,16,Good,8h 17min,9:02 PM,5:35 AM
12/14/2024,88,51,59,--,16,Good,7h 20min,8:59 PM,4:19 AM
12/13/2024,87,54,40,--,14,Good,7h 46min,10:47 PM,6:55 AM
12/12/2024,84,54,35,--,15,Good,7h 50min,10:44 PM,6:56 AM
12/11/2024,89,54,58,--,16,Good,9h 49min,9:30 PM,7:29 AM
12/10/2024,78,52,51,--,14,Fair,7h 35min,9:53 PM,6:17 AM
12/9/2024,63,50,27,--,15,Fair,4h 51min,11:38 PM,4:29 AM
12/8/2024,87,45,52,--,15,Good,8h 22min,11:40 PM,8:02 AM
12/7/2024,84,48,60,--,16,Good,6h 52min,9:28 PM,4:20 AM
12/6/2024,72,52,47,--,14,Fair,5h 40min,10:43 PM,5:00 AM
12/5/2024,84,53,59,--,15,Good,6h 40min,10:14 PM,5:00 AM
12/4/2024,80,50,66,--,15,Good,6h 59min,11:00 PM,5:59 AM
12/3/2024,52,51,26,--,17,Poor,7h 43min,10:14 PM,6:21 AM
12/2/2024,68,50,36,--,16,Fair,5h 9min,10:35 PM,6:16 AM
12/1/2024,84,53,67,--,15,Good,8h 22min,10:11 PM,7:14 AM
11/30/2024,78,58,51,--,16,Fair,6h 11min,10:03 PM,4:14 AM
11/29/2024,82,54,61,--,15,Good,6h 50min,10:16 PM,5:06 AM
11/28/2024,67,53,35,--,16,Fair,5h 11min,11:45 PM,4:57 AM
11/27/2024,85,56,47,--,14,Good,8h 34min,10:30 PM,7:05 AM
11/26/2024,76,58,27,--,15,Fair,6h 45min,10:05 PM,4:52 AM
11/25/2024,85,53,43,--,17,Good,8h 40min,10:13 PM,7:12 AM
11/24/2024,77,54,30,--,15,Fair,8h 38min,10:20 PM,7:32 AM
11/23/2024,79,59,41,--,14,Fair,9h 22min,9:04 PM,7:03 AM
11/22/2024,47,59,21,--,16,Poor,6h 31min,10:08 PM,5:05 AM
11/21/2024,81,58,24,--,15,Good,7h 21min,11:41 PM,7:02 AM
11/20/2024,84,55,48,--,15,Good,7h 19min,11:22 PM,7:09 AM
11/19/2024,89,53,51,--,16,Good,8h 5min,11:24 PM,7:30 AM
11/18/2024,82,55,46,--,15,Good,7h 6min,11:49 PM,6:58 AM
11/17/2024,78,55,42,--,14,Fair,6h 43min,1:03 AM,7:46 AM
11/16/2024,73,57,35,--,16,Fair,7h 0min,12:19 AM,7:21 AM
11/15/2024,87,54,44,--,15,Good,7h 29min,12:01 AM,7:30 AM
11/14/2024,85,55,50,--,13,Good,7h 45min,11:33 PM,7:29 AM
11/13/2024,78,52,46,--,14,Fair,7h 0min,12:24 AM,7:24 AM
11/12/2024,41,60,17,--,14,Poor,3h 5min,12:42 AM,3:52 AM
11/11/2024,82,55,29,--,16,Good,7h 37min,11:08 PM,7:02 AM
11/10/2024,79,53,41,--,16,Fair,8h 27min,10:19 PM,6:52 AM
11/9/2024,50,60,29,--,14,Poor,7h 35min,11:23 PM,7:21 AM
11/8/2024,82,59,42,--,14,Good,8h 53min,10:04 PM,7:07 AM
11/7/2024,76,55,43,--,15,Fair,6h 45min,11:31 PM,6:20 AM
11/6/2024,75,55,52,96,15,Fair,6h 26min,12:55 AM,7:31 AM
11/5/2024,68,59,28,96,15,Fair,6h 3min,1:17 AM,7:20 AM
11/4/2024,83,56,43,97,14,Good,7h 33min,12:09 AM,8:04 AM
11/3/2024,77,55,42,98,15,Fair,8h 9min,12:03 AM,9:10 AM
11/2/2024,90,54,65,94,17,Excellent,8h 29min,10:41 PM,7:10 AM
11/1/2024,52,58,24,97,15,Poor,4h 57min,2:11 AM,7:15 AM
10/31/2024,80,55,45,94,17,Good,7h 13min,12:20 AM,7:33 AM
10/30/2024,80,59,29,96,16,Good,7h 28min,11:37 PM,7:05 AM
10/29/2024,81,57,33,95,16,Good,7h 39min,12:08 AM,7:48 AM
10/28/2024,86,55,--,96,15,Good,7h 38min,12:08 AM,7:49 AM
10/27/2024,50,60,29,94,15,Poor,7h 35min,11:47 PM,7:45 AM
10/26/2024,79,57,40,95,14,Fair,7h 39min,11:39 PM,7:33 AM
10/25/2024,77,56,42,95,13,Fair,6h 42min,1:08 AM,8:11 AM
10/24/2024,49,59,27,96,14,Poor,6h 37min,12:09 AM,6:47 AM
10/23/2024,73,56,33,96,14,Fair,6h 10min,12:53 AM,7:06 AM
10/22/2024,79,54,53,95,16,Fair,6h 49min,11:07 PM,7:15 AM
10/21/2024,81,54,61,96,15,Good,6h 42min,12:37 AM,7:21 AM
10/20/2024,75,58,44,97,15,Fair,6h 18min,12:04 AM,7:55 AM
10/19/2024,78,52,56,96,16,Fair,6h 20min,1:01 AM,7:25 AM
10/18/2024,79,55,39,93,16,Fair,6h 15min,1:24 AM,7:55 AM
10/17/2024,84,58,60,96,16,Good,7h 33min,12:11 AM,7:44 AM
10/16/2024,49,55,37,96,14,Poor,3h 46min,2:10 AM,5:56 AM
10/15/2024,81,57,29,97,14,Good,8h 22min,11:05 PM,7:32 AM
10/14/2024,87,55,42,95,16,Good,7h 58min,12:01 AM,8:00 AM
10/13/2024,86,55,50,95,15,Good,7h 54min,11:34 PM,7:48 AM
10/12/2024,78,57,36,96,15,Fair,6h 44min,12:01 AM,6:50 AM
10/11/2024,83,54,39,95,15,Good,8h 4min,11:38 PM,8:05 AM
10/10/2024,83,54,49,97,14,Good,8h 10min,12:26 AM,8:54 AM
10/9/2024,89,52,43,96,15,Good,7h 47min,11:58 PM,7:45 AM
10/8/2024,86,52,51,96,15,Good,7h 44min,12:23 AM,8:22 AM
10/7/2024,83,50,55,93,16,Good,6h 28min,12:45 AM,7:26 AM
10/6/2024,--,--,--,--,--,--,--,--,--
10/5/2024,85,54,0,97,15,Good,8h 56min,10:38 PM,7:48 AM
10/4/2024,87,54,38,94,16,Good,7h 23min,12:32 AM,7:55 AM
10/3/2024,78,58,33,96,15,Fair,7h 12min,12:07 AM,7:21 AM
10/2/2024,82,54,53,96,15,Good,7h 10min,11:50 PM,7:26 AM
10/1/2024,78,54,47,97,16,Fair,7h 12min,12:17 AM,7:30 AM
9/30/2024,82,54,43,0,14,Good,7h 14min,11:55 PM,7:40 AM
9/29/2024,85,53,53,96,14,Good,7h 19min,11:48 PM,7:07 AM
9/28/2024,47,58,28,97,16,Poor,8h 54min,9:58 PM,8:09 AM
9/27/2024,67,56,32,96,15,Fair,6h 48min,12:12 AM,7:01 AM
9/26/2024,80,53,55,97,15,Good,7h 36min,12:39 AM,9:06 AM
9/25/2024,81,54,44,96,15,Good,7h 5min,11:55 PM,7:00 AM
9/24/2024,84,54,46,97,17,Good,7h 18min,11:15 PM,7:02 AM
9/23/2024,87,52,45,0,16,Good,7h 51min,11:41 PM,7:32 AM
9/22/2024,77,58,34,97,14,Fair,7h 47min,11:18 PM,7:22 AM
9/21/2024,79,54,47,96,16,Fair,6h 43min,12:42 AM,7:25 AM
9/20/2024,80,54,41,96,16,Good,6h 42min,12:08 AM,6:51 AM
9/19/2024,84,54,56,97,16,Good,7h 38min,12:01 AM,8:00 AM
9/18/2024,76,55,40,97,16,Fair,7h 10min,11:41 PM,7:01 AM
9/17/2024,80,54,0,95,15,Good,6h 56min,12:17 AM,7:13 AM
9/16/2024,96,52,60,97,14,Excellent,7h 49min,10:51 PM,6:47 AM
9/15/2024,73,56,0,97,15,Fair,5h 57min,12:42 AM,6:40 AM
9/14/2024,83,57,40,98,15,Good,7h 31min,11:36 PM,7:23 AM
9/13/2024,86,52,66,97,15,Good,7h 29min,11:08 PM,7:04 AM
9/12/2024,75,52,32,97,14,Fair,6h 29min,11:44 PM,6:51 AM
9/11/2024,84,51,62,98,15,Good,7h 13min,12:17 AM,8:05 AM
9/10/2024,91,53,45,97,14,Excellent,8h 15min,10:29 PM,6:45 AM
9/9/2024,83,55,43,97,14,Good,7h 49min,12:10 AM,8:19 AM
9/8/2024,86,54,46,96,14,Good,8h 5min,11:19 PM,7:26 AM
9/7/2024,84,53,51,97,16,Good,7h 4min,12:35 AM,7:39 AM
9/6/2024,85,54,60,97,14,Good,7h 52min,11:22 PM,7:23 AM
9/5/2024,78,54,51,96,14,Fair,6h 23min,12:28 AM,6:51 AM
9/4/2024,75,57,46,0,16,Fair,6h 40min,12:49 AM,7:47 AM
9/3/2024,83,53,54,96,15,Good,8h 9min,10:28 PM,7:09 AM
9/2/2024,88,56,56,97,13,Good,7h 43min,11:47 PM,7:30 AM
9/1/2024,52,60,32,98,14,Poor,7h 52min,1:54 AM,9:48 AM
8/31/2024,79,58,45,97,15,Fair,7h 16min,11:59 PM,7:58 AM
8/30/2024,88,54,60,97,15,Good,9h 20min,11:23 PM,9:07 AM
8/29/2024,83,55,0,97,14,Good,7h 35min,10:21 PM,6:30 AM
8/28/2024,0,0,0,0,0,--,--,--,--
8/27/2024,90,53,65,95,16,Excellent,8h 4min,10:44 PM,6:55 AM
8/26/2024,78,57,0,96,15,Fair,6h 40min,12:06 AM,6:47 AM
8/25/2024,76,56,41,95,15,Fair,6h 51min,11:44 PM,6:59 AM
8/24/2024,89,54,60,96,14,Good,8h 20min,11:43 PM,8:17 AM
8/23/2024,81,57,42,97,15,Good,7h 11min,11:47 PM,6:58 AM
8/22/2024,84,53,38,97,14,Good,8h 0min,11:14 PM,7:21 AM
8/21/2024,0,0,0,0,0,--,--,--,--
8/20/2024,87,54,55,96,16,Good,8h 0min,11:31 PM,7:37 AM
8/19/2024,85,53,62,97,15,Good,8h 0min,11:02 PM,7:14 AM
8/18/2024,78,56,47,94,14,Fair,6h 30min,1:39 AM,8:22 AM
8/29/2024,83,55,0,97,14,Good,7h 35min,10:21 PM,6:30 AM
8/28/2024,0,0,0,0,0,--,--,--,--
8/27/2024,90,53,65,95,16,Excellent,8h 4min,10:44 PM,6:55 AM
8/26/2024,78,57,0,96,15,Fair,6h 40min,12:06 AM,6:47 AM
8/25/2024,76,56,41,95,15,Fair,6h 51min,11:44 PM,6:59 AM
8/24/2024,89,54,60,96,14,Good,8h 20min,11:43 PM,8:17 AM
8/23/2024,81,57,42,97,15,Good,7h 11min,11:47 PM,6:58 AM
8/22/2024,84,53,38,97,14,Good,8h 0min,11:14 PM,7:21 AM
8/21/2024,0,0,0,0,0,--,--,--,--
8/20/2024,87,54,55,96,16,Good,8h 0min,11:31 PM,7:37 AM
8/19/2024,85,53,62,97,15,Good,8h 0min,11:02 PM,7:14 AM
8/18/2024,78,56,47,94,14,Fair,6h 30min,1:39 AM,8:22 AM
8/17/2024,88,53,46,96,15,Good,7h 56min,11:56 PM,7:52 AM
8/16/2024,81,59,34,97,15,Good,8h 23min,11:37 PM,8:02 AM
8/15/2024,87,55,48,98,15,Good,8h 43min,11:19 PM,8:02 AM
8/14/2024,79,58,35,98,14,Fair,6h 57min,1:06 AM,8:03 AM
8/13/2024,89,55,62,95,16,Good,7h 47min,11:16 PM,7:04 AM
8/12/2024,76,58,0,96,15,Fair,6h 26min,11:55 PM,6:21 AM
8/11/2024,78,54,46,96,15,Fair,6h 39min,1:14 AM,7:53 AM
8/10/2024,89,52,47,97,15,Good,7h 22min,12:38 AM,8:00 AM
8/9/2024,86,54,49,94,13,Good,7h 47min,12:01 AM,7:48 AM
8/8/2024,89,53,61,97,14,Good,7h 54min,11:14 PM,7:24 AM
8/7/2024,75,58,0,95,14,Fair,6h 24min,12:26 AM,7:33 AM
8/6/2024,80,55,56,95,14,Good,6h 50min,12:31 AM,7:22 AM
8/5/2024,82,54,0,97,13,Good,7h 4min,11:53 PM,7:02 AM
8/4/2024,77,57,0,97,15,Fair,6h 23min,11:39 PM,6:02 AM
8/3/2024,80,58,32,96,15,Good,7h 43min,11:51 PM,7:39 AM
8/2/2024,48,60,23,97,16,Poor,6h 22min,11:55 PM,6:29 AM
8/1/2024,84,57,49,95,14,Good,7h 40min,10:51 PM,6:46 AM
7/31/2024,67,58,33,94,15,Fair,5h 46min,1:28 AM,7:15 AM
7/30/2024,84,56,51,0,15,Good,8h 28min,10:38 PM,7:14 AM
7/29/2024,78,57,38,96,15,Fair,7h 10min,11:49 PM,7:00 AM
7/28/2024,73,58,38,95,14,Fair,6h 17min,1:20 AM,7:45 AM
7/27/2024,80,54,52,96,15,Good,6h 28min,12:58 AM,7:26 AM
7/26/2024,79,57,41,95,15,Fair,7h 44min,11:04 PM,7:20 AM
7/25/2024,82,51,57,96,15,Good,7h 0min,11:36 PM,7:09 AM
7/24/2024,77,57,34,0,15,Fair,7h 18min,10:51 PM,6:41 AM
